Type,BMU,Name,GSP region
Unclassified,E_BSPHM-1,Bispham ,North West England
Unclassified,E_RDSCR-1,Redscar ,North West England
Unknown,E_0015,Unknown ,North Scotland
Unknown,E_0016,Unknown ,North Scotland
Unknown,E_0017,Unknown ,North Scotland
Unknown,E_0018,Unknown ,North Scotland
Unknown,E_0019,Unknown ,North Scotland
Unknown,E_0020,Unknown ,North Scotland
Unknown,E_0021,Unknown ,North Scotland
Unknown,E_0023,Unknown ,North Scotland
Unknown,E_0024,Unknown ,North Scotland
Unknown,E_0025,Unknown ,North Scotland
Unknown,E_0026,Unknown ,North Scotland
Unknown,E_0028,Unknown ,North Scotland
Unknown,E_0029,Unknown ,North Scotland
Unknown,E_0030,Unknown ,North Scotland
Unknown,E_0031,Unknown ,North Scotland
Unknown,E_0032,Unknown ,North Scotland
Unknown,E_0033,Unknown ,North Scotland
Unknown,E_EENRD001,Unknown ,East Midlands
Unknown,E_NEE-NEE02,Unknown ,North Scotland
Unknown,E_NEE-NEE03,Unknown ,North Scotland
Unknown,E_WINN-1,Unknown ,East Midlands
Unknown,T_ELSTR-1,Unknown ,Eastern
Unknown,INTELEC,Unknown ,Unknown
Unknown,INTEW,Unknown ,Unknown
Unknown,INTFR,Unknown ,Unknown
Unknown,INTIFA2,Unknown ,Unknown
Unknown,INTIRL,Unknown ,Unknown
Unknown,INTNED,Unknown ,Unknown
Unknown,INTNEM,Unknown ,Unknown
